Overall Qual,Year Built,Exter Qual,Gr Liv Area,Kitchen Qual,Bsmt Qual,Neighborhood,SalePrice
5,1955,2,827,2,0,NAmes,107500
6,1914,2,1484,2,3,OldTown,128000
5,1925,2,764,2,2,OldTown,73000
9,2003,3,1792,4,5,NridgHt,374000
8,2001,3,2649,3,5,NridgHt,421250
6,1992,2,1593,2,4,Gilbert,178000
4,1972,2,1181,2,4,Edwards,137500
8,1994,3,1987,3,4,NoRidge,301500
6,1935,2,1242,2,3,SWISU,105000
6,1968,2,976,3,3,NAmes,157500
5,1901,2,1214,2,3,OldTown,117000
5,1962,2,864,2,3,NAmes,105000
6,1936,2,1639,2,3,SWISU,115000
9,2008,4,1736,4,5,NridgHt,360000
5,1979,2,1535,2,0,SawyerW,118858
6,1966,2,1632,3,3,NWAmes,173000
3,1890,2,725,2,3,OldTown,78500
7,2004,3,1720,3,4,Gilbert,183500
4,1953,1,936,2,2,OldTown,93000
8,2003,3,1589,3,4,Blmngtn,226500
6,1993,3,1571,2,4,Gilbert,178000
7,2003,3,1479,3,4,CollgCr,226000
5,1969,3,1632,2,3,Mitchel,173000
5,1965,2,864,2,3,Sawyer,62383
9,2008,4,2713,4,5,NridgHt,446261
7,1926,2,1479,3,3,SWISU,160000
7,2004,3,1576,3,4,Blmngtn,219990
7,1999,3,1479,3,4,CollgCr,191000
5,1925,2,1060,2,3,BrkSide,136500
4,1958,2,943,3,0,Edwards,80000
7,1988,3,2183,3,4,NWAmes,229000
7,1993,3,1949,3,4,SawyerW,236000
10,2006,4,1824,4,5,Timber,392000
6,1927,2,1930,2,3,IDOTRR,149000
10,1998,4,2393,4,4,Somerst,345000
5,1900,3,2014,2,2,OldTown,169000
4,1946,2,1242,2,3,Edwards,109900
7,1993,2,2000,2,4,Mitchel,188000
6,1939,2,1412,2,3,BrkSide,132500
5,1994,2,990,2,3,CollgCr,143000
5,1951,2,1342,2,2,Edwards,125000
9,2005,4,1868,4,5,NridgHt,415000
4,1910,2,1363,2,2,OldTown,125500
6,1958,2,1632,2,3,NAmes,139000
10,2008,4,2296,4,5,NridgHt,451950
5,1959,2,1678,2,3,Edwards,119900
8,2001,3,1296,3,5,Timber,220000
6,1971,2,1587,2,3,NAmes,167300
5,1941,2,1298,2,3,Edwards,122000
5,1963,2,1728,2,3,Sawyer,125000
5,1957,2,928,2,3,OldTown,112500
7,2005,3,1795,3,4,CollgCr,191000
6,1958,2,1080,2,3,NAmes,136000
7,1998,2,1779,3,4,CollgCr,197900
6,1910,2,1635,3,3,OldTown,117000
7,2006,3,1220,3,4,CollgCr,194000
9,2001,3,1310,3,5,Somerst,285000
5,1940,2,1355,2,3,Edwards,127500
7,1992,3,2295,3,4,NoRidge,268000
4,1900,2,1798,2,3,OldTown,137000
7,1967,2,1620,3,3,NWAmes,215000
5,1955,2,1216,2,3,NAmes,129500
5,1936,2,1344,2,4,BrkSide,115000
5,1925,2,1159,2,3,OldTown,114000
4,1966,2,1056,2,3,SawyerW,107000
5,1947,2,1216,2,3,NAmes,118500
6,1929,2,1158,2,3,BrkSide,120000
8,2005,3,1538,3,4,Somerst,260000
5,1959,2,1143,2,3,NAmes,136000
4,1971,2,872,2,3,NAmes,123000
6,1920,2,1406,1,3,IDOTRR,89500
6,2005,3,1324,3,4,Gilbert,199500
5,1966,2,904,2,3,Sawyer,109900
7,1926,3,2080,3,4,Crawfor,234000
6,2004,3,848,3,4,CollgCr,155900
4,1957,2,1788,2,3,ClearCr,161500
6,1958,2,1344,3,3,Timber,137500
5,1910,2,2256,1,3,OldTown,76500
6,1988,3,2060,2,4,ClearCr,211000
6,1998,3,1337,3,4,NAmes,181000
6,1966,2,1165,2,3,NAmes,174900
5,1966,2,1320,2,3,Sawyer,164500
7,2004,3,1535,3,4,NridgHt,214000
7,1980,2,2044,2,4,NWAmes,185000
4,1929,2,1136,2,3,BrkSide,123000
6,1979,2,1299,3,4,Mitchel,183500
8,1999,3,1441,3,4,Somerst,174000
5,1953,2,1630,2,3,Edwards,130000
7,1925,2,1641,4,3,OldTown,178000
5,1997,2,1629,2,4,Gilbert,189900
6,2003,3,848,3,4,CollgCr,144000
6,1930,3,816,2,3,IDOTRR,120500
5,1994,2,1097,2,4,CollgCr,145000
8,2000,3,1652,4,4,StoneBr,251000
4,1968,2,1768,2,3,Sawyer,136500
4,1955,2,1152,2,0,Edwards,82500
2,1910,1,810,2,0,IDOTRR,57625
7,2007,3,1358,3,4,NridgHt,212500
6,1998,2,1216,2,5,Mitchel,164000
6,1957,2,1638,3,3,IDOTRR,139000
7,1999,3,1252,3,4,Somerst,160000
5,1992,2,883,2,4,Mitchel,149000
5,1968,2,874,2,3,Mitchel,130000
7,1921,2,1710,2,3,OldTown,140000
8,2008,3,1836,3,4,Somerst,264500
5,1957,2,1092,2,3,NAmes,141000
7,2006,3,1241,3,4,Somerst,199900
6,1977,2,1334,2,4,NWAmes,167900
6,1960,2,1429,3,3,NAmes,181900
8,2008,3,1566,3,4,Somerst,262500
7,1977,2,2288,3,4,NWAmes,230000
9,1999,3,1709,3,5,Somerst,328900
8,2005,3,1721,3,4,NridgHt,232698
8,2008,3,1254,3,4,CollgCr,221800
5,1941,2,1350,3,3,Sawyer,152400
7,2000,3,1630,3,4,CollgCr,213000
7,2005,3,1585,3,4,SawyerW,184900
5,1953,2,1336,2,3,Crawfor,157000
5,1962,2,1211,2,3,Sawyer,144000
6,1979,2,1353,2,4,NWAmes,192350
7,1966,2,1200,2,3,NAmes,163500
7,1990,2,2329,3,4,SawyerW,262280
7,2002,3,1536,3,4,CollgCr,214000
6,1956,2,1811,4,3,Crawfor,230000
7,2006,3,2172,3,5,NridgHt,280000
4,1957,2,1073,2,3,IDOTRR,140000
6,1966,2,1839,2,3,NAmes,155000
3,1918,1,1020,1,3,IDOTRR,64500
6,1993,3,1802,3,4,SawyerW,218000
5,1977,2,1009,2,3,CollgCr,160000
8,2007,3,1338,3,4,Somerst,208900
5,1959,2,3820,4,0,Edwards,284700
7,2007,3,1392,3,4,Somerst,146000
